callsign,inband_qso_count,tk0c_total_qso_count,cn3a_reached
N2GC,1,2,true
N2LBR,1,1,true
N2LK,1,1,true
N2MF,1,1,true
N2MM,2,4,true
N2NI,2,3,true
N2NL,3,5,true
N2NT,3,6,true
N2OO,1,3,true
N2PP,1,1,true
N2QV,1,1,true
N2RD,2,4,true
N2TX,3,6,true
N2ZA,1,3,true
N3AD,1,3,true
N3FR,1,2,true
N3MN,1,2,true
N3RD,4,6,true
N3RS,3,7,true
N3WT,1,1,true
N3XF,2,3,true
N4AF,3,7,true
N4BP,1,1,true
N4CW,1,3,true
N4DJ,2,5,true
N4DW,1,5,true
N4GG,1,2,true
N4HAI,1,1,true
N4HB,1,2,true
N4KH,2,3,true
N4KS,1,1,true
N4OX,1,1,true
N4PSE,1,3,true
N4QS,1,1,true
N4RJ,1,1,true
N4RV,1,1,true
N4TB,1,1,true
N4TZ,1,6,true
N4UU,1,2,true
N4WW,3,6,true
N4XD,1,1,true
N5AW,1,3,true
N5JJ,3,5,true
N5RZ,2,3,true
N5TJ,1,1,true
N5TOO,1,2,true
N5XZ,2,3,true
N6AR,1,3,true
N6NT,1,3,true
N6RO,2,6,true
N7DR,2,3,true
N7DX,3,3,true
N7ELL,1,1,true
N7TU,1,1,true
N8II,2,3,true
N8OO,3,4,true
N9EP,1,3,true
N9NC,2,6,true
N9RV,4,6,true
N9TK,1,1,true
NA8V,4,6,true
NB1N,2,3,true
NC2Y,1,2,true
ND3T,6,6,true
NF9V,1,2,true
NG3J,1,2,true
NJ2OM,3,3,false
NJ3K,1,1,true
NK4O,3,3,true
NM4AA,5,5,true
NN1SS,2,6,true
NN3Q,2,3,true
NN3RP,1,2,true
NN7CW,5,5,true
NO8C,2,4,true
NO9E,2,2,true
NP3A,1,1,true
NP3Y,1,2,true
NP3YL,1,1,true
NR4M,4,6,true
NS3T,1,1,true
NS4T,3,5,true
NT2DR,1,1,true
NW3Y,3,4,true
NY3A,1,1,true
NZ4N,1,4,true
OA4O,1,1,true
OE1CIW,1,2,true
OE1UVA/3,1,1,true
OE2S,4,6,true
OE3A,5,6,true
OE3WMA,5,6,true
OE5AEN,1,1,false
OE5ARN,2,4,true
OE5CYL,1,2,true
OE5OHO,4,4,true
OE5OSO,1,1,false
OE5POP,2,2,false
OE6VIE,1,1,true
OE6Z,5,6,true
OE8XEF,4,5,true
OF9X,4,7,true
OG1F,5,6,true
OG4T,1,1,false
OG5B,1,1,true
OG5O,2,6,true
OG7A,1,2,true
OG8W,1,1,false
OH0V,6,6,true
OH0Z,5,6,true
OH1D,1,1,false
OH1LA,3,5,true
OH1MM,1,1,false
OH1VR,5,6,true
OH2BBM,1,1,false
OH2CV,1,1,true
OH2KW,2,3,true
OH2N,1,1,true
OH2PQ,5,6,true
OH2XX,4,4,true
OH3FM,6,6,true
OH3JF,1,1,false
OH3OJ,2,4,true
OH3Z,3,3,true
OH4KZM/P,1,1,false
OH5ME,1,1,false
OH5Z,2,6,true
OH7K,4,6,true
OH7L,3,4,true
OH8KA,1,1,true
OH8L,1,1,true
OH8WW,1,1,true
OH8X,1,3,true
OH8Z,1,1,false
OK1CF,1,1,true
OK1CO,2,2,true
OK1FKD,1,1,true
OK1FPG,1,2,false
OK1FPQ,1,1,true
OK1HEH,1,2,true
OK1IP,1,2,true
OK1KKI,2,6,true
OK1MM,1,1,false
OK1MZM,1,2,true
OK1NU,1,1,true
OK1OA,2,4,true
OK1OPT,4,5,true
OK1PI,1,2,true
OK1RR,3,3,true
OK1SI,1,2,true
OK1TN,3,6,true
OK1VK,2,4,true
OK2DM,1,1,true
OK2EA,2,3,true
OK2GG,1,1,true
OK2HBR,1,1,true
OK2IW,2,3,true
OK2J,2,4,true
OK2NAJ,1,2,true
OK2PIM,1,1,true
OK2QA,2,3,true
OK2TJ,3,5,true
OK2W,1,1,true
OK4YL,2,2,true
OK5OK,2,4,true
OK5WA,2,4,true
OK5Z,3,4,true
OK6Y,2,6,true
OK7AW,1,1,true
OK7NV,1,1,false
OK7O,4,6,true
OL0A,3,6,true
OL0W,3,6,true
OL1C,4,6,true
OL3A,3,7,true
OL3M,1,2,true
OL3Z,2,6,true
OL5J,1,1,true
OL5N,2,2,true
OL5Y,1,4,true
OL6A,2,2,true
OL7D,6,7,true
OL7T,2,6,true
OL9Z,1,1,true
OM/UT2WW,1,1,true
OM0AS,1,1,true
OM0EE,1,1,true
OM1AVV,2,2,true
OM1WS/P,1,1,false
OM3CFR,1,1,true
OM3CW,1,1,true
OM3ZU,1,4,true
OM4Q,1,4,true
OM5AW,2,2,false
OM5CM,2,3,true
OM5DX,4,6,true
OM5JA,1,4,true
OM5R,1,4,true
OM5TX,1,1,true
OM6AL,3,5,true
OM6TU,1,1,true
OM7AG,2,4,true
OM7K,5,7,true
OM7LM,3,5,true
OM7LW,1,2,true
OM7M,1,4,true
OM8A,6,6,true
OM8AQ,1,1,true
ON4ANE,1,2,true
ON4CAU,1,2,true
ON4CT,4,4,true
ON5JT,2,5,true
ON5WL,1,1,true
ON6AB,1,1,false
ON6FC,5,7,false
ON6MG,3,3,true
ON6NL,3,3,true
ON6QO,2,4,true
ON7PQ,3,3,true
ON8GA,4,5,true
OO7Z/P,1,1,false
OP3T,1,1,true
OP7B,1,1,false
OP7T,1,2,true
OQ0Q,1,1,true
OQ5M,4,6,true
OR7G,5,5,true
OT2A,3,6,true
OT4A,1,2,true
OT5L,4,6,true
OT6E,1,1,true
OT6M,4,5,true
OT7A,1,1,false
OT7T,4,7,true
OU2V,1,1,true
OU7M/P,1,1,true
OX7AM,3,5,true
OY1CT,5,5,true
OY1R,1,1,true
OZ1AAR,3,5,true
OZ3SM,3,5,true
OZ4JU,1,1,false
OZ5E,4,6,true
OZ5W,2,7,true
OZ6TL,1,1,true
OZ7AEI,1,1,true
OZ8AAH,2,2,false
OZ8X,6,6,true
P3AA,3,6,true
P3CR,1,7,true
P3F,5,5,false
P3X,5,8,true
P40L,4,6,true
P44W,3,5,true
PA0O,4,5,true
PA1CW,2,2,true
PA1T,1,1,true
PA2A,1,2,true
PA2KW,3,4,true
PA2W,1,1,true
PA3AAV,3,6,true
PA3ARM,2,2,true
PA3BWK,3,3,false
PA3CJP,1,1,true
PA3DBS,3,3,true
PA3FQA,3,3,true
PA3GDD,3,4,true
PA3GPX,4,4,true
PA4DOC,2,3,false
PA4PA,1,1,true
PA4WM,1,1,true
PA5KT,4,5,true
PA5N,1,3,true
PA6T,2,6,true
PA6X,3,6,true
PA6Y,3,4,true
PA6Z,2,5,true
PA7F,2,2,true
PA7JWC,3,3,true
PA7RA,3,4,true
PC0A,4,6,true
PC3M,2,3,true
PC5C,2,2,true
PC6R,1,2,true
PD1RP,1,2,true
PD9X,1,1,true
PE1EEC,1,3,true
PG2AA,1,1,true
PG6M,1,1,true
PI4VHC,1,2,true
PJ2T,6,7,true
PJ4A,2,6,true
PJ4K,2,4,true
PJ4X,1,1,false
PJ5C,2,3,true
PJ7UK,1,2,true
PP4T,2,5,true
PP5AX,1,1,true
PP5KP,1,1,true
PP8ZAC,1,1,true
PR1T,1,5,true
PR2A,1,2,true
PT1M,2,4,true
PT1W,1,1,false
PT2AW,2,2,true
PT7BI,1,1,false
PU2TWZ,1,1,true
PV8DX,1,1,true
PW2E,2,2,true
PW2F,1,3,true
PW2K,2,4,true
PX2W,1,1,true
PY1AX,1,1,true
PY2EL,1,1,true
PY2NY,4,4,true
PY2RSA,1,1,true
PY2XL,3,3,true
PY3CW,1,1,true
PY4HO,1,2,true
PY5AMF,1,1,true
PZ5DX,1,1,true
R0MZ,1,1,false
R0QC,1,1,false
R1CI,1,1,true
R1CX,1,1,false
R1IV,1,1,true
R1QD,2,3,true
R2FK,4,6,true
R2FZ,2,2,true
R2UZ,2,5,true
R2ZU,3,4,true
R3LDG,1,2,true
R3MAI,3,6,true
R3OM,1,5,true
R3OQ,1,3,true
R3XX,1,1,false
R3ZJ,1,2,true
R4AC,3,3,true
R4BD,2,5,true
R4BZ,1,5,true
R4DI,2,2,true
R4DU,2,4,true
R4GM,1,1,true
R4II,2,2,true
R4KB,1,1,true
R4KO,3,3,true
R4LC,1,1,false
R4NC,1,1,false
R4ND,1,1,true
R4RN,3,4,true
R4RT,4,6,true
R5ACQ,1,2,true
R5AJ,4,6,true
R5BS,1,1,true
R5FQ,2,3,true
R5KV,1,4,true
R5QQ,3,3,true
R6AF,3,5,true
R6CC,1,1,true
R6HV,1,2,true
R6OG,1,2,true
R6YY,1,1,true
R7AT,1,5,true
R7CA,1,1,true
R7CW,1,2,false
R7DX,1,2,false
R7HF,5,5,true
R7NK,1,1,true
R7NQ,2,3,true
R7NW,1,1,true
R8CI,4,4,false
R8CT,2,6,true
R8FT,2,3,true
R8TT,1,1,true
R8WO,1,1,true
R9AE,2,5,true
R9CI,1,1,false
R9CP,1,1,false
R9CX,1,1,true
R9DX,4,6,true
R9FT,2,5,true
R9IR,1,1,true
R9SS,2,2,true
R9YC,1,2,true
RA0AY,1,1,false
RA0LQ/MM,5,6,true
RA0R,1,4,true
RA0SMS,3,5,true
RA1QD,5,5,false
RA1TU,1,5,false
RA3DS,1,1,true
RA3SI,1,1,true
RA4AG,1,2,true
RA5G,2,7,true
RA6ZM,2,2,false
RA7A,1,1,true
RA7R,2,4,true
RA8A,1,1,true
RA9DZ,1,1,true
RA9Y,2,5,true
RC1W,4,5,true
RC2O,1,3,true
RC3W,4,5,true
RC6U,5,6,true
RC9F,1,1,true
RC9O,2,2,true
RC9T,1,1,true
RD3AT,1,1,false
RD4F,1,5,true
RD6AY,1,1,true
RG2A,2,6,true
RG5A,2,6,true
RG8U,1,3,false
RJ6K,1,1,false
RK0S,1,2,true
RK1AQ,2,4,true
RK2M,5,5,true
RK3D,1,1,false
RK3DK,1,4,true
RK3LC,4,4,false
RK4FD,2,5,true
RK6O,1,1,true
RK9A,1,2,true
RK9AX,3,5,true
RL3FM,1,1,true
RL3T,2,2,true
RL4F,4,5,true
RL5A,2,6,true
RL9O,1,1,true
RM1F,1,2,true
RM1Q,4,6,true
RM2A,1,1,false
RM2U,1,1,true
RM3F,2,5,true
RM4F,6,6,true
RM4W,1,1,true
RM6M,1,1,true
RM6Y,2,2,true
RM8L,2,3,true
RM9A,2,5,true
RM9I,1,1,false
RN3BL,4,6,true
RN4AO,1,2,true
RN4HAB,2,2,true
RN4SS,2,4,true
RN7O,4,6,true
RO1A,1,2,false
RQ3M,2,5,true
RQ9F,2,3,true
RT0O,2,3,true
RT1I,2,2,false
RT1L,1,2,true
RT2C,2,6,true
RT2F,1,2,true
RT3K,1,1,true
RT4F,5,6,true
RT4M,1,6,true
RT4P,4,6,true
RT5A,1,1,false
RT5T,1,1,true
RT6A,4,6,true
RT6T,1,1,false
RT8O,2,2,false
RT8U,3,7,true
RU0A,2,5,true
RU0LL,2,3,true
RU3ACA,1,1,true
RU3KO,1,1,true
RU4K,1,1,true
RU4PU,4,4,true
RU5A,2,5,true
RU6CO,2,5,true
RU9AC,1,2,true
RU9AD,2,3,true
RU9CK,1,1,true
RV3ZN,3,4,false
RW0A,5,9,true
RW0AJ,1,1,true
RW0CR,3,4,true
RW3QJ,3,3,true
RW3VA,3,3,true
RW4W,2,6,true
RX3AEX,5,5,true
RX3N,1,1,true
RX4HJ,2,2,true
RX6FJ,1,4,true
RY6ZAB,3,6,true
RY9C,3,4,true
RZ1OA,1,1,true
RZ3DJ,2,2,true
RZ4PXP,1,1,false
RZ8U,1,1,false
RZ9L,4,5,true
RZ9UO,3,4,true
S21FIA,2,2,true
S50A,1,1,true
S50B,1,1,true
S51B,1,1,false
S51DX,1,2,true
S51RW,1,1,true
S51W,1,1,true
S51XO,1,1,true
S51YI,1,1,true
S52A,3,4,true
S52AW,2,2,true
S52F,2,6,true
S52KJ,1,4,true
S52P,1,1,true
S52W,2,3,true
S52ZD,1,2,true
S53A,1,1,true
S53K,1,6,true
S53M,5,8,true
S53O,1,2,true
S53R,2,5,true
S53V,1,2,true
S53X,1,1,true
S53Z,1,1,true
S54W,2,2,true
S56C,1,1,true
S56X,1,1,true
S57AJ,1,5,true
S57J,3,5,true
S57Q,1,1,true
S57T,1,2,true
S58D,1,2,true
S58M,5,6,true
S58N,2,5,true
S59DR,1,1,true
S59EHI,1,1,false
S59L,3,5,true
S59N,1,1,true
S79/OK6RA,1,1,true
SA0IAT,2,4,true
SA6ZGM,1,3,true
SB6F,1,1,false
SB7S,5,5,true
SC6O,1,4,true
SD1A,1,2,true
SD6F,4,5,true
SD6M,2,2,false
SE0X,1,1,true
SE4E,1,6,true
SE5B,2,3,true
SE6K,1,3,true
SF1Z,2,5,true
SF5O,1,1,true
SF5X,1,5,true
SF8W,3,5,true
SJ2W,1,4,true
SK0QO,1,5,true
SK3W,4,6,true
SK5AA,2,2,false
SK6D,2,2,true
SK6EE,1,1,true
SK6EI,2,5,true
SM0D,4,7,true
SM0Q,1,4,true
SM2EKM,3,4,true
SM2U,4,5,true
SM3EVR,3,6,true
SM5ACQ,4,5,true
SM5CSS,1,2,true
SM5DXR,3,5,true
SM5EPO,1,1,true
SM6BGA,4,4,true
SM6EAN,1,1,true
SM6F,1,2,true
SM6NZA,1,5,true
SM6TOL,2,2,true
SM9F,1,1,false
SN2B,3,4,true
SN3C,2,5,true
SN3F,1,2,true
SN5N,3,6,true
SN7Q,3,5,true
SO3O,3,5,true
SO5CW,1,6,true
SO9I,3,3,true
SP1AEN,2,5,true
SP1JPM,1,1,false
SP1NY,4,7,true
SP2ASJ,1,1,true
SP2HMT,2,2,true
SP2LNW,1,1,true
SP2MHC,3,3,false
SP3FSM,1,4,true
SP3HRN,2,3,true
SP3MKS,2,5,true
SP3SLU,1,1,false
SP4AWE,1,2,false
SP4G,1,2,true
SP4KVA,1,1,true
SP4TKR,1,1,true
SP4Z,1,1,true
SP5ELA,1,1,true
SP5NZF,1,1,true
SP5WAZ,1,2,true
SP5Y,2,2,true
SP6AEG,1,1,true
SP6AKK,1,3,true
SP6GCU,5,5,true
SP6GNJ,1,1,false
SP6PRT,3,8,true
SP6TGC,2,2,true
SP7CF,1,5,true
SP7IIT,2,4,true
SP7OGP,1,1,true
SP7P,1,4,true
SP7TBS,1,1,true
SP8GQU,1,1,true
SP8HWM,2,2,true
SP8UFT,1,1,false
SP9FOW,1,1,true
SP9LAS,1,1,true
SP9PBB,2,2,true
SP9W,1,1,true
SP9XCN,2,6,true
SQ1EUG,2,2,true
SQ3JPV,3,3,true
SQ5J,5,5,true
SQ5LNU,1,2,false
SQ6ABC,1,1,true
SQ7U,3,3,true
SQ8LUU,3,5,true
SQ9KDT,5,5,true
SQ9RM,1,1,true
SQ9S,1,4,true
SQ9TX,2,2,true
SV1AMH,1,1,false
SV1ME,1,1,true
SV2CUI,1,1,true
SV4FFL,3,4,true
SV5DZR,1,2,true
SV8OVJ,5,6,true
SV9DJO,3,6,true
SX0W,2,4,true
SX1T,3,5,true
SZ1A,5,6,true
SZ2EDE,1,1,true
T70A,4,5,true
T88AR,2,3,true
TA2AL/QRP,1,1,false
TA2IJ,1,1,true
TA2WTA,1,1,false
TA3D,1,1,true
TA3JOH,1,1,true
TA3V,1,1,false
TA7I,4,4,true
TC2E,4,6,true
TF3EO,4,4,true
TF3SG,5,6,true
TF4M,1,2,true
TI1E,2,2,true
TI2OY,1,1,true
TI5/VA3RA,1,2,true
TI7W,4,4,true
TI8X,4,5,true
TL8GD,1,1,true
TM1W,2,3,true
TM1X,2,6,true
TM29X,3,6,true
TM2Y,2,4,true
TM4S,2,5,true
TM5T,4,4,true
TM7A,1,2,true
TO7A,6,6,true
TY5FR,5,5,true
UA0DAR,2,2,true
UA0SBQ,1,1,false
UA1ANA,1,4,true
UA1F,3,4,true
UA1NFA,1,3,true
UA1ORK,1,1,false
UA2FZ,4,6,true
UA3EDQ,1,2,true
UA3MIF,1,3,true
UA3QGT,1,2,true
UA3WF,1,1,true
UA4CC,1,1,true
UA4CNJ,1,1,false
UA4M,2,6,true
UA4PN,1,1,true
UA4S,1,1,true
UA4W,4,5,false
UA4WJ,1,3,true
UA5D,1,2,true
UA6AA,1,1,true
UA6CC,3,6,true
UA6GO,1,2,true
UA6LUQ,3,5,true
UA7K,1,5,true
UA9ALE,2,2,true
UA9AT,2,6,true
UA9AX,2,3,true
UA9BA,1,3,true
UA9CDC,3,6,true
UA9LAO,1,1,true
UA9LIF,1,1,true
UA9MA,2,5,true
UA9XK,1,1,true
UA9XX,4,4,true
UC4L,2,2,true
UC4P,1,1,true
UC5D,3,3,true
UD3B,1,1,true
UD6M,2,2,true
UD8A,1,3,true
UF1F,2,2,true
UG4I,1,2,true
UN0L,6,6,true
UN3J,3,5,true
UN7EG,2,5,true
UN7Q,1,1,true
UN7ZW,1,1,false
UN8PT,1,1,true
UP0L,2,6,true
UP4L,1,1,true
UP7L,1,1,true
UR4KWA,1,3,true
UR5R,2,4,true
UR5WD,1,1,true
UR5XMM,2,5,true
UR7EC,1,2,true
UR7MZ,3,5,true
UR8RF,1,1,true
US7IM,1,1,true
US8ICM,2,2,true
UT1AA,1,1,true
UT1KWA,1,1,false
UT1KY,1,1,false
UT3QU,1,1,true
UT3SO,2,6,true
UT3WX,1,1,true
UT4E,1,1,true
UT5UIA,1,3,true
UT5UN,2,2,true
UT5UUV,1,1,true
UT5ZC/QRP,3,5,true
UT6ER,1,1,true
UT6UD,1,1,true
UT7EZ,6,6,true
UT7FO,1,1,true
UT8EU,1,1,true
UV1IX,1,1,true
UW5Y,1,5,true
UW5ZM,1,1,true
UW7X,3,7,true
UW8SM,1,5,true
UX1BZ,1,2,true
UX1VX,3,3,true
UX2HB,1,2,true
UY2UA,1,2,true
UY2UZ,1,1,true
UY7LM,2,5,true
UZ3U,4,6,true
UZ5DM,1,1,false
V26K,5,6,true
V31CQ,5,5,true
V47T,7,7,true
V85RH,5,5,true
VA1MM,3,3,true
VA2AM,1,1,true
VA2EBI,2,4,true
VA2WA,3,6,true
VA3AR,5,6,true
VA3FH,1,4,true
VA3FN,1,3,true
VA3KRJ,4,4,true
VA3SP,1,1,true
VA7ST,1,3,true
VE1ANF,2,2,true
VE2FK,4,4,true
VE2IM,6,6,true
VE3BXG,2,2,true
VE3CM,2,2,true
VE3EY,4,5,true
VE3JM,5,6,true
VE3MGY,2,5,true
VE3MM,1,1,true
VE3OMV,5,6,true
VE3RIA,1,1,true
VE3VN,6,8,true
VE3WUE,3,5,true
VE3YAA,2,4,true
VE5SF,1,1,true
VE6BBP,2,2,true
VE7ACN,2,2,true
VE7UF,1,3,true
VE7WO,1,1,false
VE9DX,5,5,true
VE9KK,4,4,true
VE9ML,1,2,true
VJ3A,2,2,true
VK1A,2,3,true
VK3HJ,1,1,true
VK4DX,1,2,true
VK6T,5,5,true
VK9DX,3,4,true
VL2B,1,1,true
VL2G,5,5,true
VL2U,1,1,true
VL3E,1,1,true
VL4A,1,1,true
VL6T,1,1,false
VO2AC,1,4,true
VP2MAA,1,1,true
VP2MMA,3,5,true
VP9I,5,5,true
VR2CO,1,1,true
VR2GP,1,1,true
VR2KF,2,2,false
VR2NC,1,1,true
VR2TA,1,1,true
VR2VRC,2,3,true
VU2AFL,1,1,true
VU2CDP,3,4,true
VU2NXG,1,2,true
VU2OR,1,1,true
VU2SRT,2,3,true
VU2TMP,2,2,true
VU2YYF,3,3,true
VU3GDS,1,1,false
VY1CO,1,1,false
VY2TT,6,6,true
VY2WW,1,1,true
W0CP,1,1,true
W0EWD,2,4,true
W0FLS,1,2,true
W0OR,1,3,true
W0PR,2,3,true
W0SK,1,1,true
W1CSM,1,4,true
W1EQ,3,4,true
W1ES,3,4,true
W1ESE,2,2,true
W1FJ,1,3,true
W1JQ,2,3,true
W1KM,5,5,true
W1MK,2,2,true
W1TO,1,2,true
W1WEF,4,7,true
W1YW,1,3,true
W2AW,1,1,true
W2CG,1,2,true
W2CS,2,2,true
W2FU,2,7,true
W2QL,4,6,false
W2YC,3,4,true
W3AG,1,2,true
W3ASW,1,1,true
W3BGN,1,1,true
W3GH,3,4,true
W3LPL,1,2,true
W3RJ,3,5,true
W4CB,1,1,false
W4LT,1,2,false
W4NF,3,6,true
W4PM,1,1,true
W4RM,2,6,true
W5JAW,1,1,true
W6PH,1,4,true
W7SW,1,1,true
W8FJ,1,6,true
W8FN,1,5,true
W8LVN,1,4,true
W8MJ,1,2,true
W9RNY,2,3,true
W9VW,3,5,true
W9WV,1,1,false
WA0MHJ,4,5,true
WA1S,2,5,true
WA2CP,3,3,true
WA2MBP,1,2,true
WA2OAX,5,5,false
WA7NB,3,3,true
WA8RCN,1,2,true
WA8VTD,1,1,false
WB4AAA,1,1,true
WB5DW,1,1,true
WB8AKW,1,2,true
WC1D,3,3,false
WF4DX,2,3,true
WF4W,2,4,true
WG3J,2,6,true
WG4V,1,1,true
WG9P,1,1,false
WH2JA,1,1,false
WH7T,2,2,true
WJ1U,1,3,true
WJ9B,1,1,true
WK1O,2,5,true
WK2G,3,5,true
WK2W,2,6,true
WM6Y,1,1,true
WP3A,3,5,true
WP4TZ,1,1,true
WQ5L,2,3,true
WS6X,1,1,true
WS9M,3,6,true
WS9V,1,3,true
WT2P,1,4,true
WT3Q,4,5,true
WT9U,1,3,true
WW2P,1,1,true
WW4XX,1,2,true
WX0B,3,4,true
WX3B,3,5,true
WY1U,1,1,true
WY3A,5,6,true
XE1AY,1,1,true
XE2B,2,5,true
XE2T,1,1,true
XQ3WD,1,1,true
XR1D,3,4,true
XU7RRC,4,4,true
XV9T,1,1,true
YB2GV,1,2,true
YB2IQ,3,3,true
YB2VSH,3,3,true
YB3GEM,1,1,true
YB8UTI,3,3,true
YD1FRU,1,1,true
YE1GXQ,3,4,true
YL2GD,4,6,true
YL2KO,4,6,true
YL2TD,2,2,true
YL2VW,1,1,true
YL3CW,2,2,false
YL3FT,1,1,true
YL3GQ,1,1,true
YL3JD,1,1,false
YL3NU,1,4,true
YL3RZ,1,1,true
YL5T,5,6,true
YL73R,1,5,true
YL9T,3,5,true
YO2LEA,1,1,true
YO3GEK,2,2,true
YO4AAC,2,6,true
YO4NF,2,3,true
YO4NT,4,5,true
YO6KPT,3,5,true
YO7CW,3,3,true
YO8DOH,2,4,true
YO8FC,1,1,true
YO8PUF,1,1,true
YO9CB,1,1,true
YO9HP,3,6,true
YP3X,4,6,true
YP5A,1,1,true
YR0K,1,1,true
YR7A,2,4,true
YR8R,1,1,true
YT0K,1,2,true
YT1A,1,1,true
YT1BX,1,1,true
YT1FZ,1,2,true
YT1TU,2,2,true
YT1X,1,1,true
YT2ISM,3,3,true
YT2RX,2,5,true
YT2ZE,3,4,true
YT3D,6,6,true
YT3E,1,1,true
YT5A,6,8,true
YT5L,1,1,true
YT5W,2,2,true
YT5WA,1,1,true
YT6A,2,2,true
YT6T,4,6,true
YT6X,1,1,true
YT7A,1,1,true
YT7AA,1,4,true
YT7X,4,4,true
YT9X,3,6,true
YU0T,1,1,true
YU0U,1,1,true
YU1A,1,5,true
YU1LA,1,1,true
YU1Q,1,2,true
YU1QU,1,2,true
YU1YV,1,2,true
YU5A,3,6,true
YU5R,2,6,true
YU7EE,1,1,true
YU7KW,1,4,true
YU7WW,2,2,true
YV6BXN,2,2,true
Z32ID,2,2,true
Z32TO,1,1,true
Z32U,2,2,true
Z32ZP,1,3,true
Z33B,3,3,true
Z33F,1,1,false
Z35F,1,1,true
Z35M,3,4,true
Z68BG,1,1,true
ZA1EM,2,2,true
ZA1F,1,1,true
ZA1RR,4,4,true
ZB2BU,5,5,true
ZD7BG,2,2,true
ZD7VI,2,2,true
ZD7VJ,1,1,true
ZF1A,2,6,true
ZF4T,1,1,false
ZF5T,5,6,true
ZL4YY,1,2,true
ZL7IO,2,3,true
ZM3A,4,4,true
ZP5KO,1,1,false
ZS1C,3,3,true
ZW5B,1,1,true
ZW5X,1,1,false
ZW8T,1,1,false
ZZ5K,1,1,true
